Segment,File Name,transcription_0,transcription_20,transcription_40,transcription_60,Reaction Time (s),Min Volume (dB),Max Volume (dB),Silence Threshold (dB),Length (s)
NV_1,recording_verval_resp_a_2025-01-02_15h33.47.050.wav,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,,,,-5,0.0
NV_1,recording_verval_resp_a_2025-01-02_15h33.49.603.wav,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,,,,-5,0.0
NV_1,recording_verval_resp_a_2025-01-02_15h33.52.202.wav,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,,,,-5,0.0
NV_1,recording_verval_resp_a_2025-01-02_15h33.54.805.wav,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,,,,-5,0.0
NV_1,recording_verval_resp_a_2025-01-02_15h33.57.391.wav,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,,,,-5,0.0
NV_1,recording_verval_resp_a_2025-01-02_15h33.59.993.wav,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,,,,-5,0.0
NV_1,recording_verval_resp_a_2025-01-02_15h34.02.579.wav,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,,,,-5,0.0
NV_1,recording_verval_resp_a_2025-01-02_15h34.05.168.wav,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,,,,-5,0.0
NV_1,recording_verval_resp_a_2025-01-02_15h34.07.754.wav,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,,,,-5,0.0
NV_1,recording_verval_resp_a_2025-01-02_15h34.10.337.wav,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,,,,-5,0.0
NV_1,recording_verval_resp_a_2025-01-02_15h34.12.923.wav,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,,,,-5,0.0
NV_1,recording_verval_resp_a_2025-01-02_15h34.15.511.wav,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,,,,-5,0.0
NV_1,recording_verval_resp_a_2025-01-02_15h34.18.097.wav,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,,,,-5,0.0
NV_1,recording_verval_resp_a_2025-01-02_15h34.20.683.wav,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,,,,-5,0.0
NV_1,recording_verval_resp_a_2025-01-02_15h34.23.269.wav,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,,,,-5,0.0
NV_1,recording_verval_resp_a_2025-01-02_15h34.25.853.wav,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,,,,-5,0.0
