back_rows,counter,block_notice,session_typy_block,NO,block,session_typy,numbers_v,corr_respond_v,numbers_a,corr_respond_a,trials_all.thisRepN,trials_all.thisTrialN,trials_all.thisN,trials_all.thisIndex,trials_rows.thisRepN,trials_rows.thisTrialN,trials_rows.thisN,trials_rows.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,nasa_loop.thisRepN,nasa_loop.thisTrialN,nasa_loop.thisN,nasa_loop.thisIndex,thisRow.t,notes,instructions.started,instructionsTxt.started,fix_stimulus_2.started,fix_stimulus_2.stopped,key_resp.started,instructions.stopped,key_resp.keys,key_resp.rt,key_resp.duration,n_choose.started,dual_box.started,dual_box.stopped,model_choosing.started,sa_img.started,dual_img.started,sv_img.started,sa_text.started,dual_text.started,sv_text.started,sa_t.started,sv_t.started,dual_t.started,n_choose.stopped,model_choosing.x,model_choosing.y,model_choosing.leftButton,model_choosing.midButton,model_choosing.rightButton,model_choosing.clicked_name,block_notice.started,notice_textbox.started,text_2.started,text_2.stopped,key_resp_3.started,block_notice.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,fixation.started,fix.started,frame_fix.started,key_not_left_2.started,key_not_right_2.started,fix.stopped,frame_fix.stopped,key_not_left_2.stopped,key_not_right_2.stopped,fixation.stopped,stimulus_setting.started,stimulus_setting.stopped,trial.started,trial_counter_2.started,trial_counter_2.stopped,fix_stimulus.started,key_resp_v.started,stimulus_block.started,frame_trial.started,key_not_left.started,key_not_right.started,stimulus_block.stopped,trial.stopped,key_resp_v.keys,verval_resp_a.clip,feedback.started,trial_counter_f.started,trial_counter_f.stopped,fix_stimulus_feedback.started,fix_stimulus_feedback.stopped,frame_trial_2.started,frame_trial_2.stopped,feedback.stopped,RT_visual,trial-state_adudio,correct_visual,correct_visual_target,correct_visual_none-target,trial-state_visual,Block_name,Session,key_resp_v.rt,key_resp_v.duration,oral_resp_a.rt,oral_resp_a.keys,length_original_audio,end_block.started,key_resp_2.started,end_block_message.started,end_block_message.stopped,end_block.stopped,key_resp_2.keys,NASA.started,form.started,mouse_4.started,nasa_title.started,NASA.stopped,form.index,form.itemText,form.type,form.font,form.markerColor,form.response,form.rt,mouse_4.x,mouse_4.y,mouse_4.leftButton,mouse_4.midButton,mouse_4.rightButton,mouse_4.time,mouse_4.clicked_name,scale_sub_box.started,stimulus_audio.started,verval_resp_a.started,key_resp_2.rt,key_resp_2.duration,end.started,text.started,key_resp_4.started,end.stopped,key_resp_4.keys,Group,ID,First_Language,date,expName,psychopyVersion,frameRate,expStart,Unnamed: 153
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0096009999979287,0.0266485000029206,0.0266485000029206,0.0266485000029206,0.0266485000029206,39.550889000005554,l,39.51493330000085,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,6,普通话,2025-01-02_15h32.07.781,n_back_2,2023.2.1,59.72192277931209,2025-01-02 15h32.28.701998 +0800,
168:210,1/2,2-,single,169.0,1/2,single,4.0,control,7.0,control,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,75.93627929998911,,,,,,,,,,,39.55152919999091,40.40006349998293,40.40006349998293,0.8141961999936029,40.40006349998293,40.40006349998293,40.40006349998293,40.40006349998293,40.40006349998293,40.40006349998293,40.40006349998293,40.40006349998293,40.40006349998293,72.63305219999165,-0.5916666666666667,-0.2453703703703703,1.0,0.0,0.0,sv_t,72.64047529999516,72.66520389998914,72.66520389998914,72.66520389998914,72.66520389998914,74.7679586999875,l,2.098349399981089,,74.76834019998205,74.83524220000254,74.83524220000254,74.83524220000254,74.83524220000254,75.93627929998911,75.93627929998911,75.93627929998911,75.93627929998911,75.82171249997918,75.86008579999907,75.860417399992,75.86043209998752,75.93627929998911,75.93627929998911,75.93627929998911,75.93627929998911,75.93627929998911,75.93627929998911,75.93627929998911,75.93627929998911,76.4380378999922,78.35724899999332,,C:\Users\lujun\Desktop\01_n_back\data/N_6_n_back_2_2025-01-02_15h32.07.781_verval_resp_a_recorded\recording_verval_resp_a_2025-01-02_15h33.47.050.wav,78.3577995999949,78.52222260000417,78.52222260000417,78.52222260000417,78.52222260000417,78.52222260000417,78.52222260000417,78.41606069999398,[],Audio OUT!,0.0,0.0,0.0,control,1/2,sv_t,0.001,,0.001,UNKNOWN,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,6,普通话,2025-01-02_15h32.07.781,n_back_2,2023.2.1,59.72192277931209,2025-01-02 15h32.28.701998 +0800,
168:210,1/2,2-,single,170.0,1/2,single,5.0,control,1.0,control,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,,,,,78.52222260000417,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78.41637150000315,78.41653129999759,78.41654049998033,78.52222260000417,78.52222260000417,78.52222260000417,78.52222260000417,78.52222260000417,78.52222260000417,78.52222260000417,78.52222260000417,79.02424189998419,80.91029319999507,,C:\Users\lujun\Desktop\01_n_back\data/N_6_n_back_2_2025-01-02_15h32.07.781_verval_resp_a_recorded\recording_verval_resp_a_2025-01-02_15h33.49.603.wav,80.91071450000163,81.1239360999898,81.1239360999898,81.1239360999898,81.1239360999898,81.1239360999898,81.1239360999898,81.0196323999844,[],Audio OUT!,0.0,0.0,0.0,control,1/2,sv_t,0.001,,0.001,UNKNOWN,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,6,普通话,2025-01-02_15h32.07.781,n_back_2,2023.2.1,59.72192277931209,2025-01-02 15h32.28.701998 +0800,
168:210,1/2,2-,single,171.0,1/2,single,4.0,l,7.0,l,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,,,,,81.1239360999898,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81.01987489999738,81.02001310000196,81.02002199998242,81.1239360999898,81.1239360999898,81.1239360999898,81.1239360999898,81.1239360999898,81.1239360999898,81.1239360999898,81.1239360999898,81.62442249999731,83.50989439999103,l,C:\Users\lujun\Desktop\01_n_back\data/N_6_n_back_2_2025-01-02_15h32.07.781_verval_resp_a_recorded\recording_verval_resp_a_2025-01-02_15h33.52.202.wav,83.51048969998374,83.72675729999901,83.72675729999901,83.72675729999901,83.72675729999901,83.72675729999901,83.72675729999901,83.62254949999624,601.0,Audio OUT!,1.0,1.0,0.0,target,1/2,sv_t,0.6005493000266142,,0.001,UNKNOWN,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,6,普通话,2025-01-02_15h32.07.781,n_back_2,2023.2.1,59.72192277931209,2025-01-02 15h32.28.701998 +0800,
168:210,1/2,2-,single,172.0,1/2,single,7.0,a,8.0,a,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,3.0,,,,,83.72675729999901,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83.62278030000743,83.62292199998046,83.62293099999079,83.72675729999901,83.72675729999901,83.72675729999901,83.72675729999901,83.72675729999901,83.72675729999901,83.72675729999901,83.72675729999901,84.22669999999925,86.11264129998744,a,C:\Users\lujun\Desktop\01_n_back\data/N_6_n_back_2_2025-01-02_15h32.07.781_verval_resp_a_recorded\recording_verval_resp_a_2025-01-02_15h33.54.805.wav,86.11321149999276,86.3293105000048,86.3293105000048,86.3293105000048,86.3293105000048,86.3293105000048,86.3293105000048,86.21351089997916,626.0,Audio OUT!,1.0,0.0,1.0,non-target,1/2,sv_t,0.6260588000004645,,0.001,UNKNOWN,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,6,普通话,2025-01-02_15h32.07.781,n_back_2,2023.2.1,59.72192277931209,2025-01-02 15h32.28.701998 +0800,
168:210,1/2,2-,single,173.0,1/2,single,8.0,a,4.0,a,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,4.0,,,,,86.3293105000048,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86.21374289999949,86.21388649998698,86.21389529999578,86.3293105000048,86.3293105000048,86.3293105000048,86.3293105000048,86.3293105000048,86.3293105000048,86.3293105000048,86.3293105000048,86.82937269998365,88.69857459998457,a,C:\Users\lujun\Desktop\01_n_back\data/N_6_n_back_2_2025-01-02_15h32.07.781_verval_resp_a_recorded\recording_verval_resp_a_2025-01-02_15h33.57.391.wav,88.69907869998133,88.9147796999896,88.9147796999896,88.9147796999896,88.9147796999896,88.9147796999896,88.9147796999896,88.80431249999674,889.0,Audio OUT!,1.0,0.0,1.0,non-target,1/2,sv_t,0.8893935999949463,,0.001,UNKNOWN,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,6,普通话,2025-01-02_15h32.07.781,n_back_2,2023.2.1,59.72192277931209,2025-01-02 15h32.28.701998 +0800,
168:210,1/2,2-,single,174.0,1/2,single,7.0,l,8.0,l,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,5.0,,,,,88.9147796999896,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88.80471500000567,88.80495499999961,88.8049733999942,88.9147796999896,88.9147796999896,88.9147796999896,88.9147796999896,88.9147796999896,88.9147796999896,88.9147796999896,88.9147796999896,89.41528319998179,91.30102869999246,l,C:\Users\lujun\Desktop\01_n_back\data/N_6_n_back_2_2025-01-02_15h32.07.781_verval_resp_a_recorded\recording_verval_resp_a_2025-01-02_15h33.59.993.wav,91.30153219998463,91.51826680000522,91.51826680000522,91.51826680000522,91.51826680000522,91.51826680000522,91.51826680000522,91.40035169999464,746.0,Audio OUT!,1.0,1.0,0.0,target,1/2,sv_t,0.7459375000034925,,0.001,UNKNOWN,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,6,普通话,2025-01-02_15h32.07.781,n_back_2,2023.2.1,59.72192277931209,2025-01-02 15h32.28.701998 +0800,
168:210,1/2,2-,single,175.0,1/2,single,2.0,a,4.0,l,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,6.0,,,,,91.51826680000522,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91.40062070000567,91.40076089999638,91.40077059998292,91.51826680000522,91.51826680000522,91.51826680000522,91.51826680000522,91.51826680000522,91.51826680000522,91.51826680000522,91.51826680000522,92.0181830000074,93.887026899989,a,C:\Users\lujun\Desktop\01_n_back\data/N_6_n_back_2_2025-01-02_15h32.07.781_verval_resp_a_recorded\recording_verval_resp_a_2025-01-02_15h34.02.579.wav,93.88752729998669,94.08711639998364,94.08711639998364,94.08711639998364,94.08711639998364,94.08711639998364,94.08711639998364,93.9828806000005,901.0,Audio OUT!,1.0,0.0,1.0,non-target,1/2,sv_t,0.901168599986704,,0.001,UNKNOWN,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,6,普通话,2025-01-02_15h32.07.781,n_back_2,2023.2.1,59.72192277931209,2025-01-02 15h32.28.701998 +0800,
168:210,1/2,2-,single,176.0,1/2,single,7.0,l,7.0,a,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0,7.0,,,,,94.08711639998364,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93.9831797000079,93.98332699999446,93.98333610000554,94.08711639998364,94.08711639998364,94.08711639998364,94.08711639998364,94.08711639998364,94.08711639998364,94.08711639998364,94.08711639998364,94.58995429999776,96.47575429998687,l,C:\Users\lujun\Desktop\01_n_back\data/N_6_n_back_2_2025-01-02_15h32.07.781_verval_resp_a_recorded\recording_verval_resp_a_2025-01-02_15h34.05.168.wav,96.4763241999899,96.67319999999016,96.67319999999016,96.67319999999016,96.67319999999016,96.67319999999016,96.67319999999016,96.56862429998,895.0,Audio OUT!,1.0,1.0,0.0,target,1/2,sv_t,0.8950863000063691,,0.001,UNKNOWN,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,6,普通话,2025-01-02_15h32.07.781,n_back_2,2023.2.1,59.72192277931209,2025-01-02 15h32.28.701998 +0800,
168:210,1/2,2-,single,177.0,1/2,single,7.0,a,4.0,l,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,8.0,8.0,,,,,96.67319999999016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96.56888479998452,96.56902490000355,96.5690338999848,96.67319999999016,96.67319999999016,96.67319999999016,96.67319999999016,96.67319999999016,96.67319999999016,96.67319999999016,96.67319999999016,97.17584059998626,99.06150539999362,l,C:\Users\lujun\Desktop\01_n_back\data/N_6_n_back_2_2025-01-02_15h32.07.781_verval_resp_a_recorded\recording_verval_resp_a_2025-01-02_15h34.07.754.wav,99.06200539998828,99.27520549998736,99.27520549998736,99.27520549998736,99.27520549998736,99.27520549998736,99.27520549998736,99.15680490000524,810.0,Audio OUT!,0.0,0.0,0.0,non-target,1/2,sv_t,0.8101090999844018,,0.001,UNKNOWN,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,6,普通话,2025-01-02_15h32.07.781,n_back_2,2023.2.1,59.72192277931209,2025-01-02 15h32.28.701998 +0800,
